,individual_wikidata_id,individual_name,birthyear,meta_occupation,region_name
166,Q101319,Tobias Adami,1581.0,philosopher,Northwestern Europe | Western Europe | German world | Germany
167,Q101324,Hermann Vogelsang,1838.0,geologist | geologist,Northwestern Europe | Western Europe | Low countries | Netherlands
168,Q101328,Gustav Volkmar,1809.0,theologian,Northwestern Europe | Western Europe | German world | Switzerland
169,Q10133,Suetonius,70.0,historian,Western Europe | Italy | Southwestern Europe | mediterranean World | Latin World
170,Q101336,Ludwig Schlesinger,1838.0,historian | historian,Eastern Europe | Central Europe
171,Q101339,Gustav Adolf Harald Stenzel,1792.0,historian,Eastern Europe | Central Europe
172,Q101348,Julius Kaftan,1848.0,theologian,Northwestern Europe | Western Europe | German world | Germany
173,Q101366,Karl Friedrich Frisch,1808.0,geographer,Northwestern Europe | Western Europe | Nordic countries | Sweden
174,Q101370,Rudolf Hermann Meyer,1839.0,economist,Northwestern Europe | Western Europe | German world | Germany
175,Q101385210,Johann Bernhard Bodde,1760.0,philosopher | philosopher | zoologist | zoologist,Northwestern Europe | Western Europe | German world | Germany
176,Q101402,Friedrich Bernhard Gottfried Nicolai,1793.0,astronomer,Northwestern Europe | Western Europe | German world | Germany
177,Q101424545,Pierre Louvet,1570.0,historian,Northwestern Europe | Western Europe | France
178,Q101437,Pius II,1405.0,geographer | geographer | historian | historian,Western Europe | Northern Italy | Italy | Southwestern Europe
179,Q101438918,Piero Parenti,1450.0,historian,Western Europe | Northern Italy | Italy | Southwestern Europe
180,Q101442,Franz Volkmer,1846.0,historian,Eastern Europe | Central Europe
181,Q101463,Ferdinand Franz Wallraf,1748.0,theologian | theologian | theologian | botanist | botanist | botanist | mathematician | mathematician | mathematician,Northwestern Europe | Western Europe | German world | Germany
182,Q101509,Johannes Letzner,1531.0,historian,Northwestern Europe | Western Europe | German world | Germany
183,Q101544,Ernst Weyden,1805.0,historian,Northwestern Europe | Western Europe | German world | Germany
184,Q101564467,Ambroise Andouard,1839.0,botanist | botanist | chemist | chemist,Northwestern Europe | Western Europe | France | Northern France
185,Q101574187,Benedict Pfleger,1833.0,historian,Northwestern Europe | Western Europe | German world | Austria
186,Q101582847,Vincenc Dittrich,1787.0,botanist,Eastern Europe | Central Europe
187,Q101587,Paul Yorck von Wartenburg,1835.0,philosopher,Eastern Europe | Central Europe
188,Q101608,Emil Marschalk von Ostheim,1841.0,historian,Northwestern Europe | Western Europe | German world | Germany
189,Q101624,Johann Christian von Stramberg,1785.0,historian,Northwestern Europe | Western Europe | German world | Germany
190,Q101630,Johann Hülsemann,1602.0,theologian,Northwestern Europe | Western Europe | German world | Germany
191,Q101638,Mary Wollstonecraft,1759.0,philosopher | philosopher | historian | historian,British Islands | Northwestern Europe | United Kingdom | Western Europe
192,Q101640,Robert Vischer,1847.0,philosopher,Northwestern Europe | Western Europe | German world | Austria
193,Q101673,Georg Wilhelm Böhmer,1761.0,theologian,Northwestern Europe | Western Europe | German world | Germany
194,Q101733,Hermann Strebel,1834.0,zoologist | zoologist | anthropologist | anthropologist,Northwestern Europe | Western Europe | German world | Germany
195,Q101736,Johann Winter von Andernach,1505.0,anatomist,Northwestern Europe | Western Europe | France | Northern France
196,Q101743830,José María Fernández Sánchez,1840.0,historian,Western Europe | Southwestern Europe | Spain
197,Q101760,Karl Schwarz,1812.0,theologian,Northwestern Europe | Western Europe | German world | Germany
198,Q101802,Georg Aportanus,1495.0,theologian,Northwestern Europe | Western Europe | German world | Germany
199,Q101808965,Raffaele Ambrosi de Magistris,1831.0,historian,Western Europe | Italy | Southwestern Europe
200,Q101829,Johann Heß,1490.0,theologian,Eastern Europe | Central Europe
201,Q101853,Ludwig Wilhelm Brüggemann,1743.0,geographer,Eastern Europe | Central Europe
202,Q101856,Adam Franz Lennig,1803.0,theologian,Northwestern Europe | Western Europe | German world | Germany
203,Q101866,Gregory VIII,1100.0,philosopher,Western Europe | Italy | Southwestern Europe | Southern Italy
204,Q101911,Wilhelm Heyd,1823.0,historian,Northwestern Europe | Western Europe | German world | Germany
205,Q101915,Georg Christian Friedrich Lisch,1801.0,archeologist | archeologist | historian | historian,Northwestern Europe | Western Europe | German world | Germany
206,Q101923,Philipp Wackernagel,1800.0,geologist | geologist | geologist | musicologist | musicologist | musicologist,Northwestern Europe | Western Europe | German world | Germany
207,Q101936,Ferdinand Röse,1815.0,philosopher,Northwestern Europe | Western Europe | German world | Germany
208,Q101944,August Ferdinand Lueder,1760.0,economist | economist,Northwestern Europe | Western Europe | German world | Germany
209,Q101945,Gustav Leopold Plitt,1836.0,theologian,Northwestern Europe | Western Europe | German world | Germany
210,Q1019467,Bénédict Turrettini,1588.0,theologian,Northwestern Europe | Western Europe | France | Northern France
211,Q101972,Ernst Steindorff,1839.0,historian,Northwestern Europe | Western Europe | German world | Germany
212,Q101975,Michael Ettmüller,1644.0,botanist,Northwestern Europe | Western Europe | German world | Germany
213,Q101989,Kaspar Ulenberg,1550.0,theologian,Northwestern Europe | Western Europe | German world | Germany
214,Q102001,Ludwig Darmstaedter,1846.0,historian | historian | chemist | chemist,Northwestern Europe | Western Europe | German world | Germany
215,Q102006327,Eugenio Piva,1820.0,geographer,Western Europe | Northern Italy | Italy | Southwestern Europe
216,Q102018,Nicolaus Rohlfs,1695.0,astronomer | astronomer | mathematician | mathematician,Northwestern Europe | Western Europe | German world | Germany
217,Q102022,Alwin Schultz,1838.0,historian | historian,Northwestern Europe | Western Europe | German world | Germany
218,Q102035987,Eugenio Musatti,1844.0,historian,Western Europe | Italy | Southwestern Europe
219,Q102037,Georg Christian Knapp,1753.0,theologian,Northwestern Europe | Western Europe | German world | Germany
220,Q102038,Karl Friedrich Köppen,1808.0,philosopher | philosopher | historian | historian,Northwestern Europe | Western Europe | German world | Germany
221,Q1020553,Miklós Küzmics,1737.0,linguist,Eastern Europe
222,Q102065,Ferdinand Rosenberger,1846.0,physicist | physicist | zoologist | zoologist,Northwestern Europe | Western Europe | German world | Germany
223,Q102082794,Kazimierz Komornicki,1812.0,historian,Eastern Europe | Slav world
224,Q102085,Johann Vollrath Bacmeister,1732.0,historian,Eastern Europe | Slav world
225,Q102107,Johann Bernhard Wilbrand,1779.0,anatomist | anatomist,Northwestern Europe | Western Europe | German world | Germany
226,Q102109841,Pompeo Moderni,1848.0,geologist | geologist | geographer | geographer,Western Europe | Italy | Southwestern Europe | Southern Italy
227,Q102116,Joachim Oelhaf,1570.0,anatomist,Eastern Europe | Central Europe
228,Q102149,Anton Hannecker,1811.0,theologian,Northwestern Europe | Western Europe | German world | Germany
229,Q102150,Friedrich Wilhelm Rettberg,1805.0,theologian | theologian | philosopher | philosopher,Northwestern Europe | Western Europe | German world | Germany
230,Q102154,Daniel Heinrich Arnoldt,1706.0,theologian,Eastern Europe | Slav world
