,wikidata_id,name,year,cultural_score,occupation
22580,Q94040,Guido von List,"(1860, 1910)",0.11545835551154818,philosopher
22581,Q94040,Guido von List,"(1860, 1910)",0.11545835551154818,poet
22582,Q13518965,Henry Scaggs,"(1730, 1780)",0.10026508052135216,explorer
22583,Q1329404,Heinrich Lottner,"(1840, 1890)",0.10016458876871545,scientist
22584,Q770392,Augustus Frederic Christopher Kollmann,"(1770, 1820)",0.10200074455720635,composer
22585,Q770392,Augustus Frederic Christopher Kollmann,"(1770, 1820)",0.10200074455720635,music theorist
22586,Q770392,Augustus Frederic Christopher Kollmann,"(1770, 1820)",0.10200074455720635,musicologist
22587,Q15925279,John Ednie Brown,"(1860, 1910)",0.10130319970612525,botanist
22588,Q126230,Ludwig Stern,"(1860, 1910)",0.1026335764472585,archaeologist
22589,Q126230,Ludwig Stern,"(1860, 1910)",0.1026335764472585,egyptologist
22590,Q1677684,Jacob B. Winslow,"(1680, 1730)",0.10276782351520738,anatomist
22591,Q1677684,Jacob B. Winslow,"(1680, 1730)",0.10276782351520738,university teacher
22592,Q5726675,Henry Palin Gurney,"(1860, 1910)",0.1004982582333458,mathematician
22593,Q5726675,Henry Palin Gurney,"(1860, 1910)",0.1004982582333458,educationalist
22594,Q5726675,Henry Palin Gurney,"(1860, 1910)",0.1004982582333458,principal
22595,Q4767404,Anna Pessiak-Schmerling,"(1840, 1890)",0.10086549261860057,composer
22596,Q4767404,Anna Pessiak-Schmerling,"(1840, 1890)",0.10086549261860057,music pedagogue
22597,Q682867,John Joseph Bennett,"(1810, 1860)",0.10317890184438518,botanist
22598,Q729147,Frederick Hutton,"(1850, 1900)",0.10427561863791364,biologist
22599,Q729147,Frederick Hutton,"(1850, 1900)",0.10427561863791364,zoologist
22600,Q729147,Frederick Hutton,"(1850, 1900)",0.10427561863791364,geologist
22601,Q729147,Frederick Hutton,"(1850, 1900)",0.10427561863791364,ornithologist
22602,Q729147,Frederick Hutton,"(1850, 1900)",0.10427561863791364,malacologist
22603,Q729147,Frederick Hutton,"(1850, 1900)",0.10427561863791364,carcinologist
22604,Q729147,Frederick Hutton,"(1850, 1900)",0.10427561863791364,university teacher
22605,Q55134252,Ferdinand Faesebeck,"(1820, 1870)",0.1001481326439593,anatomist
22606,Q55844622,Carl Christoph von Lengefeld,"(1730, 1780)",0.10075028389325712,forestry scientist
22607,Q75523,Adolf Slaby,"(1860, 1910)",0.1035677561954865,physicist
22608,Q75523,Adolf Slaby,"(1860, 1910)",0.1035677561954865,university teacher
22609,Q26868889,Martin Prehn,"(1840, 1890)",0.10006233480730808,mathematician
22610,Q1405808,Ferdinand Sommer,"(1840, 1890)",0.10017383251373957,anatomist
22611,Q1405808,Ferdinand Sommer,"(1840, 1890)",0.10017383251373957,university teacher
22612,Q19630143,Joseph Farines,"(1800, 1850)",0.10037881162552227,naturalist
22613,Q90829,Christian Röhrensee,"(1650, 1700)",0.1009356876226266,pedagogue
22614,Q90829,Christian Röhrensee,"(1650, 1700)",0.1009356876226266,political scientist
22615,Q90829,Christian Röhrensee,"(1650, 1700)",0.1009356876226266,university teacher
22616,Q90829,Christian Röhrensee,"(1650, 1700)",0.1009356876226266,historian
22617,Q15845393,Carl Alfred Nyström,"(1840, 1890)",0.10015802757085264,physicist
22618,Q10393618,Wilhelm Bötticher,"(1810, 1860)",0.10019352793986852,pedagogue
22619,Q10393618,Wilhelm Bötticher,"(1810, 1860)",0.10019352793986852,theologian
22620,Q10393618,Wilhelm Bötticher,"(1810, 1860)",0.10019352793986852,historian
22621,Q1286408,Edmund Hedicke,"(1850, 1900)",0.10018068510015844,pedagogue
22622,Q1286408,Edmund Hedicke,"(1850, 1900)",0.10018068510015844,classical philologist
22623,Q104887683,Éleuthère Brassart,"(1860, 1910)",0.1001066153662768,photographer
22624,Q104887683,Éleuthère Brassart,"(1860, 1910)",0.1001066153662768,archaeologist
22625,Q104887683,Éleuthère Brassart,"(1860, 1910)",0.1001066153662768,historian
22626,Q18530845,"Sir Thomas Parkyns, 2nd Bt","(1670, 1720)",0.10049356721685843,physicist
22627,Q6779387,Mary Edwards,"(1760, 1810)",0.1028289442355826,astronomer
22628,Q6779387,Mary Edwards,"(1760, 1810)",0.1028289442355826,mathematician
22629,Q2556630,James Bolton,"(1750, 1800)",0.10295392162734561,illustrator
22630,Q2556630,James Bolton,"(1750, 1800)",0.10295392162734561,botanical illustrator
22631,Q2556630,James Bolton,"(1750, 1800)",0.10295392162734561,botanist
22632,Q2556630,James Bolton,"(1750, 1800)",0.10295392162734561,mycologist
22633,Q2556630,James Bolton,"(1750, 1800)",0.10295392162734561,pteridologist
22634,Q2556630,James Bolton,"(1750, 1800)",0.10295392162734561,ornithologist
22635,Q75883901,Mabel Bent,"(1860, 1910)",0.10265289851890787,photographer
22636,Q75883901,Mabel Bent,"(1860, 1910)",0.10265289851890787,explorer
22637,Q15138237,Ludwig von Comini,"(1820, 1870)",0.10046715804168262,agronomist
22638,Q15138237,Ludwig von Comini,"(1820, 1870)",0.10046715804168262,oenologist
22639,Q1696529,Johann Werlhof,"(1670, 1720)",0.10019648016189064,political scientist
22640,Q1696529,Johann Werlhof,"(1670, 1720)",0.10019648016189064,university teacher
22641,Q3190287,Just Leopold Frisch,"(1720, 1770)",0.10033363419016482,naturalist
22642,Q5764938,Charles Marie Joseph Mathieu,"(1800, 1850)",0.10020636574749049,botanist
22643,Q63676402,Gottfried Zumoffen,"(1860, 1910)",0.10021963211132605,geologist
22644,Q92097,Wilhelm Fleischmann,"(1850, 1900)",0.10186610417074175,chemist
22645,Q92097,Wilhelm Fleischmann,"(1850, 1900)",0.10186610417074175,university teacher
22646,Q92097,Wilhelm Fleischmann,"(1850, 1900)",0.10186610417074175,historian
22647,Q29312127,Karl Friedrich Hipp,"(1770, 1820)",0.10017836155990537,mathematician
22648,Q687932,Claude-François Ménestrier,"(1640, 1690)",0.10289732660949334,choreographer
