,individual_wikidata_id,individual_name,occupations_wikidata_id,occupations_name,occupations_category
111946,Q3756537,Gabriele Bertazzolo,Q1734662,cartographer,artist|science|writer
111951,Q95149948,Alois Hrudička,Q1231865,pedagogue,science|writer
111959,Q6061824,Ioan Mire Melik,Q170790,mathematician,science|writer
111962,Q21607785,Jean Charles Sauzé,Q2374149,botanist,science|writer
111971,Q70928459,Martinus Aagaard,Q1781198,agronomist,science|writer
111975,Q94885198,Karl Bissinger,Q1231865,pedagogue,science|writer
111986,Q21723053,Louis-François Bravais,Q2374149,botanist,science|writer
111987,Q11686386,Antoni Dąbrowski,Q170790,mathematician,science|writer
111989,Q4493568,Paul Heinrich Fuss,Q170790,mathematician,science|writer
111990,Q3750080,Francesco Grassi,Q3621491,archaeologist,science|writer
111992,Q891045,Parameshvara,Q11063,astronomer,science|writer
111993,Q891045,Parameshvara,Q170790,mathematician,science|writer
111998,Q2551247,Jacob Maarten van Bemmelen,Q593644,chemist,science|writer
112004,Q4232838,Nikolay Korelkin,Q901,scientist,science|writer
112015,Q1692279,Johann Adolf Tassius,Q170790,mathematician,science|writer
112018,Q467789,Martin Stredonius,Q1231865,pedagogue,science|writer
112027,Q7792882,Thomas Oldham,Q2374149,botanist,science|writer
112028,Q7792882,Thomas Oldham,Q520549,geologist,science|writer
112030,Q15627206,Albert Ripley Leeds,Q593644,chemist,science|writer
112031,Q15994699,John Purdy,Q1734662,cartographer,artist|science|writer
112032,Q15994699,John Purdy,Q10295465,hydrographer,science|writer
112034,Q12767372,Ignác Hertl,Q170790,mathematician,science|writer
112037,Q612080,Charles William Wilson,Q1734662,cartographer,artist|science|writer
112038,Q612080,Charles William Wilson,Q4773904,anthropologist,science|writer
112039,Q612080,Charles William Wilson,Q3621491,archaeologist,science|writer
112046,Q291860,Fray Íñigo Abbad y Lasierra,Q18805,naturalist,science|writer
112050,Q1221013,Cassianus Bassus,Q1781198,agronomist,science|writer
112052,Q37147260,Thomas Phipson,Q901,scientist,science|writer
112057,Q101582847,Vincenc Dittrich,Q2374149,botanist,science|writer
112070,Q18572059,Bernard-Jean-Hyacinthe Jaillot,Q1734662,cartographer,artist|science|writer
112071,Q323003,Jean Jacques Kickx,Q2374149,botanist,science|writer
112092,Q3260996,Louis Aleno de St Aloüarn,Q11900058,explorer,science|writer
112093,Q21535641,John Mitchell,Q1662561,paleontologist,science|writer
112113,Q55845663,Eduard Karl Pfleiderer,Q170790,mathematician,science|writer
112116,Q6068993,Pedro González de Velasco,Q4773904,anthropologist,science|writer
112131,Q5047010,Carsten Richardson,Q11900058,explorer,science|writer
112134,Q16186092,Charles-Nicolas Duclos du Fresnoy,Q188094,economist,science|writer
112136,Q5014202,Hermanus Angelkot junior,Q2114605,pharmacologist,science|writer
112155,Q18945719,Paolo Delanges,Q170790,mathematician,science|writer
112157,Q1437160,Hermann Stahl,Q170790,mathematician,science|writer
112161,Q901070,Richard Kirwan,Q901,scientist,science|writer
112162,Q901070,Richard Kirwan,Q593644,chemist,science|writer
112163,Q901070,Richard Kirwan,Q520549,geologist,science|writer
112164,Q901070,Richard Kirwan,Q2310145,meteorologist,science|writer
112170,Q1101106,Johann Ludwig Neugeboren,Q18805,naturalist,science|writer
112173,Q22465655,Adelina Murio-Celli d‘Elpeux,Q16145150,music pedagogue,artist|science|writer
112177,Q55122323,Johann de Mey,Q3055126,entomologist,science|writer
112187,Q41756161,John S. Harris,Q3140857,horticulturist,science|writer
112222,Q15715381,Gabriele Torelli,Q170790,mathematician,science|writer
112236,Q21510489,Julius Steiner,Q2374149,botanist,science|writer
112237,Q21510489,Julius Steiner,Q15924544,lichenologist,science|writer
112240,Q99884612,Thomas Nottidge,Q2374149,botanist,science|writer
112241,Q99884612,Thomas Nottidge,Q3055126,entomologist,science|writer
112244,Q774310,János Apáczai Csere,Q1231865,pedagogue,science|writer
112251,Q343065,James Weddell,Q11900058,explorer,science|writer
112265,Q28678364,Dom Brás,Q170790,mathematician,science|writer
112271,Q3588389,Émile Burnat,Q864503,biologist,science|writer
112272,Q3588389,Émile Burnat,Q2374149,botanist,science|writer
112290,Q3168043,Jean-Michel Haussmann,Q593644,chemist,science|writer
112292,Q2823095,Achille Pierre Dionis du Séjour,Q11063,astronomer,science|writer
112293,Q2823095,Achille Pierre Dionis du Séjour,Q170790,mathematician,science|writer
112294,Q685774,Jan Šindel,Q11063,astronomer,science|writer
112295,Q685774,Jan Šindel,Q170790,mathematician,science|writer
112296,Q685774,Jan Šindel,Q1231865,pedagogue,science|writer
112300,Q2995029,Constantin Wesmael,Q3055126,entomologist,science|writer
112304,Q5792729,Nils Hasselbom,Q170790,mathematician,science|writer
112313,Q714075,Claude Joseph Geoffroy,Q593644,chemist,science|writer
112314,Q714075,Claude Joseph Geoffroy,Q2374149,botanist,science|writer
112315,Q714075,Claude Joseph Geoffroy,Q2487799,mycologist,science|writer
112319,Q1947857,Moritz Anton Cappeller,Q18805,naturalist,science|writer
112320,Q1947857,Moritz Anton Cappeller,Q15142825,crystallographer,science|writer
