,wikidata_id,meta_occupation
579,Q106511,geographer
580,Q1065123,mathematician
581,Q106512548,geographer
582,Q106518028,economist
583,Q1065181,chemist
584,Q106528,chemist
585,Q106535,chemist
586,Q1065366,geologist
587,Q1065382,botanist
588,Q1065445,anatomist
589,Q1065462,anatomist
590,Q1065478,archeologist
591,Q1065484,astronomer
592,Q1065747,zoologist
593,Q1065789,astronomer
594,Q1065789,anthropologist
595,Q106589,zoologist
596,Q106595408,geographer
597,Q106595657,botanist
598,Q106596,astronomer
599,Q106596,mathematician
600,Q106617027,physicist
601,Q106617027,chemist
602,Q1066232,botanist
603,Q1066258,astronomer
604,Q106627262,physicist
605,Q106628,physicist
606,Q106628,philosopher
607,Q106628,mathematician
608,Q106628,theologian
609,Q106630,astronomer
610,Q106630,mathematician
611,Q106630,historian
612,Q106630,geographer
613,Q1066304,zoologist
614,Q1066523,mathematician
615,Q1066534,philosopher
616,Q1066534,mathematician
617,Q1066534,theologian
618,Q1066605,zoologist
619,Q1066618,botanist
620,Q1066663,zoologist
621,Q1066666,archeologist
622,Q1066666,anthropologist
623,Q1066666,historian
624,Q106672,chemist
625,Q106682,botanist
626,Q1067,philosopher
627,Q106712445,chemist
628,Q106766425,archeologist
629,Q106766425,geologist
630,Q106772,botanist
631,Q106776583,anthropologist
632,Q106812,linguist
633,Q106812,botanist
634,Q106818,geographer
635,Q106820,physicist
636,Q106830797,geographer
637,Q106833560,mathematician
638,Q106833560,linguist
639,Q106858,geologist
640,Q106858,meteorologist
641,Q106858,botanist
642,Q106878,physicist
643,Q106878,mathematician
644,Q106933,historian
645,Q106950044,astronomer
646,Q106950044,chemist
647,Q106950044,mathematician
648,Q106989906,archeologist
649,Q106999,anthropologist
650,Q107005,chemist
651,Q107025,economist
652,Q1070259,astronomer
653,Q10709223,historian
654,Q10709223,linguist
655,Q10710657,economist
656,Q107108590,chemist
657,Q107113710,botanist
658,Q107121,historian
659,Q107122409,chemist
660,Q1071769,mathematician
661,Q107183,theologian
662,Q107183,botanist
663,Q107196,archeologist
664,Q107196,paleontologist
665,Q107196,botanist
666,Q107200,botanist
667,Q107213,economist
668,Q107228,historian
669,Q107261,historian
670,Q107261,geographer
671,Q10729014,botanist
672,Q107307,mathematician
673,Q107311,astronomer
674,Q107311,mathematician
675,Q107330,geologist
676,Q107341,botanist
677,Q107348,geographer
678,Q107366,zoologist
679,Q1073740,anatomist
680,Q107397831,mathematician
681,Q107397831,meteorologist
682,Q1074067,astronomer
683,Q1074067,anthropologist
684,Q1074067,mathematician
685,Q1074067,linguist
686,Q107410244,geographer
687,Q1074680,musicologist
688,Q107479,chemist
689,Q107479,botanist
690,Q107485,zoologist
691,Q107494199,botanist
692,Q107494199,linguist
693,Q107504,mathematician
694,Q107506956,physicist
695,Q107516,archeologist
696,Q107516,historian
697,Q107516,linguist
698,Q107532779,botanist
