,wikidata_id,individual_name_x,region_code,region_name,birthyear,meta_occupation,meta_region,individual_name_y,gender
104,Q117075,Marie Huber,re_france,France,1695.0,theologian,europe,Marie Huber,female
105,Q4894140,Juliana Morell,re_france,France,1594.0,philosopher,europe,Juliana Morell,female
106,Q237090,Madame de Lafayette,re_france,France,1634.0,historian,europe,Madame de Lafayette,female
107,Q27921342,Colette van den Keere,re_low_countries,Low countries,1568.0,geographer,europe,Colette van den Keere,female
108,Q18334973,Ursula Weyda,re_german_world,German world,1504.0,theologian,europe,Ursula Weyda,female
109,Q98754,Eva von Buttlar,re_german_world,German world,1670.0,theologian,europe,Eva von Buttlar,female
110,Q257351,Herrad of Landsberg,re_france,France,1125.0,philosopher,europe,Herrad of Landsberg,female
111,Q3295850,Martine Bertereau,re_france,France,1590.0,geologist,europe,Martine Bertereau,female
112,Q4940537,Anne Margrethe Bredal,re_nordic_countries,Nordic countries,1655.0,historian,europe,Anne Margrethe Bredal,female
113,Q2310555,Marie Crous,re_france,France,1700.0,mathematician,europe,Marie Crous,female
