,wikidata_id,meta_occupation
60180,Q2364807,physicist | mathematician
56438,Q3588323,philosopher
16612,Q1373159,historian
122053,Q3845887,philosopher
13704,Q1124282,historian
67101,Q1238179,historian
73068,Q552857,astronomer | physicist | meteorologist | mathematician
840,Q7792239,historian
14560,Q3525075,linguist
156146,Q95164715,archeologist
95750,Q84509626,philosopher | mathematician
1576,Q154938,theologian | historian
91396,Q457308,linguist | historian
107004,Q116116,botanist
46970,Q51119882,physicist
24883,Q1506005,theologian
149127,Q75248529,botanist
78333,Q213695,zoologist
118848,Q297515,geographer | historian
149382,Q133465,geographer | anthropologist
157197,Q103820,historian
24478,Q2871549,historian
89320,Q945098,botanist
58718,Q55134401,theologian
85043,Q59348306,physicist | mathematician
107377,Q5749305,botanist
137212,Q15659366,historian
140316,Q104927207,mathematician
78079,Q1986373,linguist
30615,Q42365710,geographer
532,Q220155,botanist
23282,Q311115,physicist | chemist
139719,Q767316,philosopher
132372,Q12262969,zoologist
124672,Q6752678,philosopher
157447,Q557124,historian
102658,Q16026626,astronomer
160373,Q3412455,philosopher
154502,Q4261952,astronomer
143158,Q934185,philosopher
90064,Q3385223,historian
92220,Q5869611,botanist
74001,Q1084848,theologian
45533,Q55193415,historian
2336,Q8005816,historian
142399,Q350773,zoologist | physicist
26236,Q2625574,philosopher
157070,Q12043992,geographer
111976,Q99446417,musicologist
160432,Q12177831,theologian
9312,Q43127142,chemist
74962,Q18197609,historian
50564,Q1175674,theologian
87285,Q2958257,botanist
31271,Q19840790,geologist
39988,Q108278,musicologist
124833,Q19997747,philosopher
47151,Q94850247,geographer
161931,Q8514292,anthropologist
23270,Q60835848,chemist
93196,Q89410,paleontologist
137144,Q105085348,archeologist | physicist
144193,Q4528721,botanist
90092,Q55071198,geologist | zoologist | paleontologist
68455,Q1356941,zoologist
156994,Q55844432,mathematician
78848,Q1695296,theologian
35224,Q21518695,botanist
157500,Q51131,linguist | anthropologist
26478,Q23646662,zoologist
35397,Q59428823,historian
155836,Q1098793,archeologist | historian
83201,Q55685035,theologian
2080,Q944360,anatomist
151437,Q1964746,botanist
106917,Q71956486,physicist
148329,Q121550,historian
68554,Q94884929,theologian
34301,Q3579886,historian
7856,Q1286441,historian
87293,Q55836907,historian
86965,Q3165355,botanist | economist
146889,Q56389069,botanist
146843,Q17442002,mathematician
22593,Q2255276,philosopher
161378,Q3571334,philosopher
126779,Q1338411,philosopher
141346,Q7351699,archeologist | anthropologist
149447,Q9359712,physicist
156354,Q67147,economist
26370,Q94901035,theologian
105607,Q16649587,theologian
24922,Q55233309,meteorologist
126798,Q130351,philosopher | mathematician
162236,Q17040371,astronomer | mathematician
119409,Q3659445,historian | economist
129483,Q110218312,philosopher
55634,Q5656,philosopher
100287,Q16185963,theologian
43616,Q53014832,historian
85071,Q3720414,musicologist
145270,Q708463,astronomer
53802,Q6201326,botanist | linguist
84030,Q3099936,historian
4064,Q15983694,anatomist
58631,Q1991409,theologian
150136,Q18945786,mathematician
64940,Q55626002,zoologist
65385,Q21655292,astronomer
94031,Q3356174,linguist | historian
56000,Q23086066,chemist
