,wikidata_id,individual_name,region_code,region_name,birthyear,meta_occupation,meta_region,region
32550,Q94528129,Johann Hillebrandt,re_spain,Spain,1686.0,theologian | philosopher,europe,re_europe
32551,Q12955031,Ramiro Rampinelli,re_italy,Italy,1697.0,mathematician,europe,re_europe
32556,Q2703863,Gasparo Berti,re_italy,Italy,1600.0,astronomer | physicist | mathematician,europe,re_europe
32575,Q31763330,Mariano Aristuto,re_italy,Italy,1688.0,geologist,europe,re_europe
32577,Q12800199,Rihard Brumat,re_italy,Italy,1658.0,historian,europe,re_europe
32599,Q7028984,Nicola Coleti,re_italy,Italy,1681.0,historian,europe,re_europe
32600,Q9014930,Josef de Moret,re_spain,Spain,1615.0,historian,europe,re_europe
32604,Q40687160,Niccolò Taccoli,re_italy,Italy,1680.0,historian,europe,re_europe
32607,Q66904720,Joan Baptista Ballester,re_spain,Spain,1624.0,theologian,europe,re_europe
32617,Q3512588,Vito Maria Amico,re_italy,Italy,1697.0,historian,europe,re_europe
32627,Q7183130,Philip Aranda,re_spain,Spain,1642.0,theologian,europe,re_europe
32631,Q55683779,Giovanni Margini,re_italy,Italy,1643.0,theologian,europe,re_europe
32647,Q6379474,Moses Pinheiro,re_italy,Italy,1601.0,theologian,europe,re_europe
32655,Q10285270,Francisco da Fonseca,re_portugal,Portugal,1668.0,historian,europe,re_europe
32656,Q1242534,Gilles-François de Gottignies,re_italy,Italy,1630.0,astronomer | mathematician,europe,re_europe
32657,Q3952392,Scipione Bellabona,re_italy,Italy,1603.0,historian,europe,re_europe
32679,Q12954103,Lorenzo Lorenzini,re_italy,Italy,1650.0,mathematician,europe,re_europe
32689,Q3275709,Madeleine Patin,re_italy,Italy,1642.0,philosopher,europe,re_europe
32690,Q451293,Giovanni Ceva,re_italy,Italy,1647.0,mathematician,europe,re_europe
32696,Q3108176,Giuseppe Zinanni,re_italy,Italy,1692.0,botanist | zoologist,europe,re_europe
32702,Q5945864,José Torrubia,re_italy,Italy,1698.0,geologist | linguist | paleontologist,europe,re_europe
32709,Q5882819,Gonzalo Antonio Serrano,re_spain,Spain,1670.0,astronomer | mathematician,europe,re_europe
32711,Q3306048,Martín Sarmiento,re_spain,Spain,1695.0,botanist,europe,re_europe
32713,Q21067543,Luca Assarino,re_italy,Italy,1602.0,historian,europe,re_europe
32721,Q11116711,Vittorio Francesco Stancari,re_italy,Italy,1678.0,zoologist | mathematician,europe,re_europe
32738,Q65161481,Antonio de Alvarado,re_spain,Spain,1650.0,linguist,europe,re_europe
32744,Q3876146,Nicola Caravita,re_italy,Italy,1647.0,philosopher,europe,re_europe
32757,Q22682225,Gian Giuseppe Liruti,re_italy,Italy,1689.0,historian,europe,re_europe
32758,Q104812741,Josep Salvador i Riera,re_spain,Spain,1690.0,botanist,europe,re_europe
32761,Q3064854,Famiano Nardini,re_italy,Italy,1600.0,archeologist,europe,re_europe
32767,Q30939109,Jorge Cardoso,re_portugal,Portugal,1606.0,historian,europe,re_europe
32783,Q53707179,Diego José Dormer,re_spain,Spain,1649.0,historian,europe,re_europe
32790,Q867312,Carlo Antonio Manzini,re_italy,Italy,1600.0,astronomer | mathematician,europe,re_europe
32793,Q55228512,Pier Maria Gropallo,re_italy,Italy,1610.0,geographer,europe,re_europe
32795,Q63162168,José Lupercio Panzano,re_spain,Spain,1656.0,historian,europe,re_europe
32819,Q98446507,Gaetano Maria Merati,re_italy,Italy,1668.0,theologian,europe,re_europe
32821,Q3750460,Francesco Piacenza,re_italy,Italy,1637.0,geographer,europe,re_europe
32831,Q17301893,Josep de Taverner i d'Ardena,re_spain,Spain,1670.0,historian,europe,re_europe
32837,Q28030732,Marco de Rama,re_spain,Spain,1649.0,theologian,europe,re_europe
32850,Q68188153,José Soares da Silva,re_portugal,Portugal,1672.0,historian,europe,re_europe
32859,Q3734363,Eugenio Gamurrini,re_italy,Italy,1620.0,theologian,europe,re_europe
32873,Q1412431,Filadelfo Mugnos,re_italy,Italy,1607.0,historian,europe,re_europe
32900,Q720273,Santiago de Murcia,re_spain,Spain,1673.0,musicologist,europe,re_europe
32901,Q109802128,Alpino Alpini,re_italy,Italy,1603.0,botanist,europe,re_europe
32939,Q23913628,Giuseppe Antonio Patrignani,re_italy,Italy,1659.0,historian,europe,re_europe
32950,Q17285773,José Barbosa,re_portugal,Portugal,1674.0,historian,europe,re_europe
32956,Q21541820,Domenico Magri,re_italy,Italy,1604.0,theologian,europe,re_europe
32966,Q21774050,Giovanni Palazzi,re_italy,Italy,1640.0,historian,europe,re_europe
32970,Q55227740,Fortunato da Rovigo,re_italy,Italy,1638.0,botanist,europe,re_europe
32976,Q7660804,Sylvester Maurus,re_italy,Italy,1619.0,theologian,europe,re_europe
32978,Q5563665,Giovanni Angelo Canini,re_italy,Italy,1617.0,archeologist | anthropologist,europe,re_europe
